work_year,experience_level,employment_type,job_field,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,MI,FT,DS,79833,Europe,0,Europe,L
2020,SE,FT,DS,260000,Asia,0,Asia,S
2020,SE,FT,DE,109024,Europe,50,Europe,M
2020,MI,FT,DA,20000,America,0,America,S
2020,SE,FT,DS,150000,America,50,America,L
2020,EN,FT,DA,72000,America,100,America,L
2020,SE,FT,DS,190000,America,100,America,S
2020,MI,FT,DS,35735,Europe,50,Europe,L
2020,MI,FT,DA,135000,America,100,America,L
2020,SE,FT,DE,125000,Oceania,50,Oceania,S
2020,EN,FT,DS,51321,Europe,0,Europe,S
2020,MI,FT,DS,40481,Asia,0,Asia,L
2020,EN,FT,DS,39916,Europe,0,Europe,M
2020,MI,FT,DA,87000,America,100,America,L
2020,MI,FT,DA,85000,America,100,America,L
2020,MI,FT,DA,8000,Asia,50,Asia,L
2020,EN,FT,DE,41689,Asia,100,Asia,S
2020,SE,FT,DE,114047,Europe,100,Europe,S
2020,EN,FT,DS,5707,Asia,50,Asia,M
2020,MI,FT,DE,56000,Europe,100,America,M
2020,MI,FT,DS,43331,Asia,0,Asia,M
2020,MI,FT,DA,6072,Asia,100,Asia,L
2020,SE,FT,DE,47899,Europe,50,Europe,L
2020,MI,FT,DA,98000,America,0,America,M
2020,MI,FT,DS,115000,Asia,0,Asia,L
2020,EX,FT,DS,325000,America,100,America,L
2020,EN,FT,DS,42000,Europe,50,Europe,L
2020,SE,FT,DE,33511,America,0,America,S
2020,EN,CT,DA,100000,America,100,America,L
2020,SE,FT,DS,117104,America,50,America,L
2020,MI,FT,DE,59303,Europe,100,Europe,S
2020,EN,FT,DE,70000,America,100,America,L
2020,SE,FT,DS,68428,Europe,100,America,L
2020,MI,FT,DS,450000,America,0,America,M
2020,MI,FT,DA,46759,Europe,50,Europe,L
2020,MI,FT,DE,74130,Europe,50,Europe,L
2020,MI,FT,DS,103000,America,100,America,L
2020,EN,FT,DS,250000,America,50,America,L
2020,EN,FT,DA,10000,Africa,100,Africa,S
2020,EN,FT,DS,138000,America,100,America,S
2020,MI,FT,DS,45760,Asia,100,America,S
2020,EX,FT,DE,79833,Europe,50,Europe,L
2020,MI,FT,DS,50180,Europe,0,Europe,M
2020,MI,FT,DE,106000,America,100,America,L
2020,MI,FT,DE,112872,Europe,50,Europe,L
2020,EN,PT,DS,15966,Europe,100,Europe,S
2020,MI,FT,DS,76958,Europe,100,Europe,S
2020,SE,FT,DE,188000,America,100,America,L
2020,MI,FT,DS,105000,America,100,America,L
2020,MI,FT,DE,70139,Europe,50,Europe,L
2020,EN,FT,DA,6072,Asia,0,Asia,S
2020,EN,FT,DA,91000,America,100,America,L
2020,EN,FT,DS,45896,Europe,50,Europe,S
2020,EN,FT,DE,54742,Asia,100,Europe,L
2020,SE,FL,DS,60000,ex_USSR,100,America,S
2020,SE,FT,DS,148261,Europe,100,Europe,M
2020,MI,FT,DS,38776,Europe,100,Europe,M
2020,MI,FT,DS,118000,America,100,America,M
2020,SE,FT,DS,120000,America,50,America,L
2020,MI,FT,DS,138350,America,100,America,M
2020,MI,FT,DE,110000,America,100,America,L
2020,MI,FT,DE,130800,Europe,100,America,M
2020,EN,PT,DS,21669,Europe,50,Europe,S
2020,SE,FT,DS,412000,America,100,America,L
2020,SE,FT,DS,45618,Europe,100,Europe,S
2020,EN,FT,DS,62726,Europe,50,Europe,S
2020,EN,FT,DS,49268,Europe,0,Europe,S
2020,SE,FT,DS,190200,America,100,America,M
2020,EN,FT,DS,105000,America,100,America,S
2020,SE,FT,DS,91237,Europe,0,Europe,S
2020,MI,FT,DS,62726,Europe,50,Europe,S
2020,MI,FT,DS,42197,Europe,50,Europe,S
2021,EN,FT,DS,82528,Europe,50,Europe,L
2021,EX,FT,DA,150000,Asia,100,America,L
2021,EX,FT,DE,235000,America,100,America,L
2021,SE,FT,DS,53192,Europe,50,Europe,L
2021,MI,FT,DA,100000,America,100,America,M
2021,MI,PT,DS,5409,Asia,50,Asia,M
2021,MI,CT,DS,270000,America,100,America,L
2021,EN,FT,DA,80000,America,100,America,M
2021,SE,FT,DA,79197,Europe,100,Europe,L
2021,MI,FT,DE,140000,America,100,America,L
2021,MI,FT,DS,54238,Europe,50,America,L
2021,MI,FT,DS,47282,Europe,100,Europe,S
2021,EX,FT,DS,153667,Europe,100,Europe,L
2021,MI,FT,DE,28476,Europe,100,Europe,L
2021,EN,FT,DA,59102,Europe,50,Europe,M
2021,MI,FT,DA,110000,America,100,America,L
2021,SE,FT,DA,170000,America,100,America,L
2021,SE,FT,DA,80000,Europe,100,America,S
2021,SE,FT,DA,88654,Europe,100,Europe,L
2021,EN,FT,DS,76833,Europe,100,Europe,S
2021,MI,FT,DA,19609,Asia,100,Asia,L
2021,SE,FT,DE,276000,America,0,America,L
2021,EN,FT,DS,29751,Asia,50,Asia,L
2021,MI,FT,DE,89294,Asia,50,Asia,L
2021,EN,PT,DS,12000,America,100,America,S
2021,MI,FT,DA,450000,America,100,America,L
2021,EN,FT,DS,70000,America,100,America,M
2021,MI,FT,DS,95746,Europe,100,America,S
2021,MI,FT,DA,75000,America,0,America,L
2021,SE,FT,DE,150000,America,100,America,L
2021,MI,FT,DA,36259,Europe,50,America,L
2021,MI,FT,DA,62000,America,0,America,L
2021,MI,FT,DS,73000,America,0,America,L
2021,MI,FT,DA,51519,Europe,50,Europe,L
2021,MI,FT,DS,187442,America,100,America,L
2021,SE,FT,DE,115000,America,100,America,S
2021,SE,FT,DE,150000,America,100,America,M
2021,EN,FT,DE,30428,Asia,100,Asia,L
2021,SE,FT,DS,94564,Europe,50,Europe,L
2021,SE,FT,DE,113476,Europe,100,Europe,M
2021,SE,FT,DE,103160,Europe,100,Europe,S
2021,EN,PT,DS,12000,Asia,100,America,M
2021,MI,FT,DE,45391,Europe,100,Europe,L
2021,EN,FT,DS,225000,America,100,America,L
2021,MI,FT,DS,50000,Africa,100,Africa,L
2021,MI,FT,DS,40189,Europe,100,Europe,M
2021,EN,FT,DA,90000,America,100,America,S
2021,MI,FT,DE,200000,America,100,America,L
2021,MI,FT,DE,60000,Europe,50,Europe,M
2021,SE,FT,DE,200000,America,100,America,M
2021,EN,FT,DA,50000,America,100,America,M
2021,EN,FT,DS,110037,Europe,0,Europe,L
2021,EN,PT,DA,10354,Europe,50,Europe,M
2021,MI,FT,DS,151000,America,100,America,L
2021,SE,FT,DS,120000,America,50,America,S
2021,MI,FT,DS,9466,Asia,0,Asia,S
2021,EN,FT,DS,20000,Asia,100,Asia,S
2021,SE,FT,DS,40570,Asia,50,Asia,L
2021,EN,FT,DS,100000,Asia,50,Asia,S
2021,EN,FT,DS,49646,Europe,50,Europe,M
2021,MI,FT,DS,38400,Asia,100,America,M
2021,SE,FT,DS,24000,America,100,America,M
2021,EN,FT,DS,100000,America,0,America,S
2021,MI,FT,DA,90000,America,100,America,M
2021,MI,FT,DS,63711,Asia,50,Asia,S
2021,MI,FT,DS,77364,Asia,50,Asia,S
2021,SE,FT,DS,220000,America,0,America,L
2021,EN,FT,DS,80000,America,100,America,M
2021,MI,FT,DA,135000,America,100,America,L
2021,SE,FT,DS,240000,America,0,America,L
2021,SE,FT,DE,150000,America,0,America,L
2021,MI,FT,DS,82500,America,100,America,S
2021,MI,FT,DE,100000,America,100,America,L
2021,SE,FT,DS,82744,Europe,50,Europe,M
2021,MI,FT,DS,62649,Europe,50,Europe,M
2021,MI,FT,DE,90000,America,100,America,L
2021,SE,FT,DE,153000,America,100,America,L
2021,SE,FT,DE,160000,America,100,America,S
2021,SE,FT,DS,168000,Asia,0,Asia,S
2021,MI,FT,DS,150000,America,100,America,M
2021,MI,FT,DS,75774,America,100,America,L
2021,EN,FT,DS,13400,ex_USSR,100,ex_USSR,L
2021,SE,FT,DS,144000,America,100,America,L
2021,SE,FT,DS,127221,America,50,America,L
2021,MI,FT,DS,119059,Asia,100,Asia,M
2021,MI,FT,DS,423000,America,50,America,L
2021,SE,FT,DA,120000,America,100,America,M
2021,EN,FT,DS,125000,America,100,America,S
2021,EX,FT,DE,230000,ex_USSR,50,ex_USSR,L
2021,EX,FT,DS,85000,ex_USSR,0,ex_USSR,M
2021,MI,FT,DE,28369,Europe,50,Europe,L
2021,EN,FT,DS,63831,Europe,50,Europe,L
2021,EX,FT,DS,130026,Europe,50,Europe,M
2021,SE,FT,DE,165000,America,100,America,L
2021,EN,FT,DE,80000,America,100,America,L
2021,EX,FT,DS,250000,America,0,America,L
2021,EN,FT,DA,55000,America,50,America,S
2021,MI,FT,DE,150000,America,100,America,L
2021,MI,FT,DE,170000,America,100,America,L
2021,MI,FT,DE,82528,Europe,100,Europe,L
2021,EN,FT,DA,60000,America,100,America,S
2021,SE,FT,DS,235000,America,100,America,L
2021,SE,FT,DS,60757,Europe,50,Europe,L
2021,SE,FT,DE,174000,America,100,America,L
2021,MI,FT,DS,2859,America,0,America,S
2021,MI,FT,DS,40038,America,100,America,L
2021,EN,FT,DS,81000,America,50,America,S
2021,MI,FT,DS,5679,Asia,100,America,S
2021,MI,FT,DE,22611,Asia,0,Asia,L
2021,MI,FT,DS,90734,Europe,50,Europe,L
2021,MI,FT,DE,26005,Europe,0,America,L
2021,SE,FT,DA,61896,Europe,50,Europe,L
2021,MI,FL,DS,12000,Asia,50,Asia,M
2021,MI,FT,DE,4000,Asia,100,Asia,M
2021,SE,FT,DA,50000,Asia,100,Europe,M
2021,EX,FT,DS,69741,Europe,100,Europe,S
2021,SE,FT,DE,76833,Europe,50,Europe,S
2021,MI,FT,DS,74000,Asia,50,Asia,S
2021,SE,FT,DS,152000,America,100,Europe,L
2021,EN,FT,DS,21844,America,50,America,M
2021,MI,FT,DE,18000,ex_USSR,0,ex_USSR,S
2021,SE,FT,DS,174000,America,100,America,L
2021,SE,FT,DS,96113,America,50,America,L
2021,MI,FT,DS,147000,America,50,America,L
2021,EN,FT,DA,9272,Africa,100,Africa,S
2021,SE,FT,DS,24342,Asia,100,Asia,L
2021,SE,FT,DS,54094,Asia,50,America,L
2021,EN,FT,DS,90000,America,100,America,S
2021,MI,FT,DS,61467,Europe,50,Europe,M
2021,SE,FT,DS,195000,America,100,America,M
2021,MI,FT,DS,37825,Europe,100,Europe,L
2021,SE,FT,DS,50000,Europe,100,America,S
2021,MI,FT,DS,160000,America,100,America,L
2021,MI,FT,DS,12901,America,0,America,S
2021,SE,FT,DS,200000,America,100,America,L
2021,SE,FT,DE,165000,America,0,America,M
2021,MI,FL,DE,20000,Europe,0,America,L
2021,SE,FT,DA,120000,America,0,America,L
2021,MI,FT,DS,24823,Europe,50,Europe,L
2021,MI,FT,DS,56738,Europe,50,Europe,S
2021,MI,FT,DE,66022,Asia,50,Europe,S
2021,EN,FT,DE,5882,Asia,0,Europe,L
2021,EN,FT,DS,24823,Europe,50,Europe,M
2021,SE,FT,DE,185000,America,100,America,L
2021,EN,PT,DS,28609,Europe,50,Europe,S
2021,MI,FT,DS,88654,Europe,100,Europe,M
2021,SE,FT,DA,140000,America,100,America,L
2021,MI,FT,DS,46597,Europe,100,Europe,L
2021,MI,FT,DS,116914,Europe,50,Europe,L
2021,MI,FT,DS,33808,Asia,0,Asia,M
2021,MI,FT,DS,56256,Europe,50,Europe,L
2021,SE,FT,DS,225000,America,100,America,L
2021,EX,CT,DS,416000,America,100,America,S
2021,SE,FT,DS,87738,America,100,America,S
2021,MI,FT,DS,88654,Europe,50,Europe,L
2021,SE,FT,DS,135000,America,0,America,L
2021,SE,FT,DA,71786,America,100,America,M
2021,EN,FT,DE,16228,Asia,100,Asia,L
2021,SE,FT,DS,256000,America,100,America,S
2021,SE,FT,DE,200000,America,100,America,L
2021,SE,FT,DA,200000,America,100,America,L
2021,MI,FT,DE,180000,America,100,America,L
2021,MI,FT,DS,110000,America,0,America,S
2021,MI,FT,DS,63810,America,100,America,M
2021,MI,FT,DS,46809,Europe,100,Europe,M
2021,EN,FT,DS,4000,Asia,0,Asia,M
2021,EN,FT,DE,21637,Asia,50,Asia,M
2021,SE,FT,DS,103691,America,100,America,L
2021,MI,FT,DA,80000,America,100,America,L
2021,MI,FT,DE,110000,America,100,America,L
2021,SE,FT,DS,165000,America,100,America,L
2021,EN,FT,DS,18053,Asia,100,Oceania,S
2021,MI,FT,DE,72212,Europe,50,Europe,L
2021,EN,FT,DS,36643,Europe,50,Europe,L
2021,MI,FT,DE,12103,Asia,0,Asia,M
2021,SE,FT,DE,96282,Europe,50,Europe,L
2021,SE,FT,DA,170000,America,100,America,M
2021,MI,FT,DS,115000,America,50,America,L
2021,EN,FT,DS,90000,America,100,America,S
2021,EX,FT,DE,600000,America,100,America,L
2021,EN,FT,DS,28399,Asia,100,Asia,M
2021,MI,FT,DA,93000,America,100,America,L
2021,SE,FT,DE,99703,America,50,America,M
2021,SE,FT,DS,173762,Europe,100,Europe,M
2021,SE,FT,DS,185000,America,50,America,L
2021,EX,FT,DS,141846,Europe,0,Europe,L
2021,MI,FT,DS,130000,America,50,America,L
2021,SE,FT,DA,63831,Europe,50,Europe,L
2021,MI,FT,DS,16904,Asia,100,Asia,S
2021,SE,FT,DS,66265,Asia,0,Asia,L
2021,MI,FT,DS,25532,Europe,100,Europe,S
2021,SE,FT,DE,160000,America,50,America,S
2021,MI,FT,DE,93150,America,0,America,M
2021,MI,FT,DE,111775,America,0,America,M
2021,MI,FT,DE,28016,Asia,100,Asia,M
2021,EN,FT,DE,65013,Europe,50,Europe,M
2021,EN,FT,DE,72500,America,100,America,L
2021,SE,FT,DS,18907,America,0,America,M
2021,EN,FT,DS,76833,Europe,0,Europe,L
2021,EN,FT,DS,85000,Europe,100,Europe,S
2021,SE,FT,DS,77684,Europe,50,Europe,M
2021,EN,FT,DS,100000,America,100,America,M
2021,EN,FT,DS,58000,America,50,America,L
2021,SE,FT,DS,55000,Europe,100,Europe,L
2021,SE,FT,DS,20171,Asia,50,Asia,L
2021,EN,FT,DA,59102,Europe,100,Europe,L
2021,MI,FT,DE,112000,America,100,America,L
2021,EN,FT,DS,100000,Europe,0,Asia,L
2021,MI,PT,DE,69741,Europe,100,Europe,L
2021,SE,CT,DS,105000,America,100,America,M
2021,MI,FT,DS,69999,Europe,50,Europe,L
2021,SE,FT,DS,94665,Asia,50,Asia,L
2021,SE,FT,DE,102839,Europe,100,Europe,L
2021,MI,FT,DS,109000,America,50,America,L
2021,MI,FT,DS,51064,Europe,50,Europe,L
2022,SE,FT,DE,135000,America,100,America,M
2022,SE,FT,DA,155000,America,100,America,M
2022,SE,FT,DA,120600,America,100,America,M
2022,MI,FT,DS,130000,America,0,America,M
2022,MI,FT,DS,90000,America,0,America,M
2022,MI,FT,DE,170000,America,100,America,M
2022,MI,FT,DE,150000,America,100,America,M
2022,SE,FT,DA,102100,America,100,America,M
2022,SE,FT,DA,84900,America,100,America,M
2022,SE,FT,DS,136620,America,100,America,M
2022,SE,FT,DS,99360,America,100,America,M
2022,SE,FT,DS,117789,Europe,0,Europe,M
2022,SE,FT,DS,104702,Europe,0,Europe,M
2022,SE,FT,DS,146000,America,100,America,M
2022,SE,FT,DS,123000,America,100,America,M
2022,EN,FT,DE,52351,Europe,100,Europe,M
2022,SE,FT,DA,99000,America,0,America,M
2022,SE,FT,DA,116000,America,0,America,M
2022,MI,FT,DA,106260,America,0,America,M
2022,MI,FT,DA,126500,America,0,America,M
2022,EX,FT,DE,242000,America,100,America,M
2022,EX,FT,DE,200000,America,100,America,M
2022,MI,FT,DS,65438,Europe,0,Europe,M
2022,MI,FT,DS,39263,Europe,0,Europe,M
2022,MI,FT,DE,78526,Europe,0,Europe,M
2022,MI,FT,DE,52351,Europe,0,Europe,M
2022,SE,FT,DS,165220,America,100,America,M
2022,EN,FT,DE,45807,Europe,100,Europe,M
2022,SE,FT,DS,120160,America,100,America,M
2022,SE,FT,DA,90320,America,100,America,M
2022,SE,FT,DE,181940,America,0,America,M
2022,SE,FT,DE,132320,America,0,America,M
2022,SE,FT,DE,220110,America,0,America,M
2022,SE,FT,DE,160080,America,0,America,M
2022,SE,FT,DS,180000,America,0,America,L
2022,SE,FT,DS,120000,America,0,America,L
2022,SE,FT,DA,124190,America,100,America,M
2022,EX,FT,DA,130000,America,100,America,M
2022,EX,FT,DA,110000,America,100,America,M
2022,SE,FT,DA,170000,America,100,America,M
2022,MI,FT,DA,115500,America,100,America,M
2022,SE,FT,DA,112900,America,100,America,M
2022,SE,FT,DE,165400,America,100,America,M
2022,SE,FT,DE,132320,America,100,America,M
2022,MI,FT,DA,167000,America,100,America,M
2022,SE,FT,DE,243900,America,100,America,M
2022,SE,FT,DA,136600,America,100,America,M
2022,SE,FT,DA,109280,America,100,America,M
2022,SE,FT,DE,128875,America,100,America,M
2022,SE,FT,DE,93700,America,100,America,M
2022,EX,FT,DS,224000,America,100,America,M
2022,EX,FT,DS,167875,America,100,America,M
2022,EX,FT,DA,175000,America,100,America,M
2022,SE,FT,DE,156600,America,100,America,M
2022,SE,FT,DE,108800,America,0,America,M
2022,SE,FT,DS,95550,America,0,America,M
2022,SE,FT,DE,113000,America,0,America,L
2022,SE,FT,DA,135000,America,100,America,M
2022,SE,FT,DS,161342,America,100,America,M
2022,SE,FT,DS,137141,America,100,America,M
2022,SE,FT,DS,167000,America,100,America,M
2022,SE,FT,DE,78526,Europe,0,Europe,M
2022,SE,FT,DE,65438,Europe,0,Europe,M
2022,SE,FT,DS,150000,America,0,America,M
2022,SE,FT,DS,211500,America,100,America,M
2022,SE,FT,DE,192400,America,100,America,M
2022,SE,FT,DE,90700,America,100,America,M
2022,SE,FT,DA,130000,America,100,America,M
2022,SE,FT,DA,61300,America,100,America,M
2022,SE,FT,DE,160000,America,0,America,L
2022,SE,FT,DS,138600,America,100,America,M
2022,SE,FT,DE,136000,America,0,America,M
2022,MI,FT,DA,58000,America,0,America,S
2022,EX,FT,DA,135000,America,100,America,M
2022,SE,FT,DS,170000,America,100,America,M
2022,SE,FT,DS,189650,America,0,America,M
2022,SE,FT,DS,164996,America,0,America,M
2022,MI,FT,DE,54957,Europe,0,Europe,M
2022,EX,FT,DE,118187,America,100,America,S
2022,SE,FT,DA,132000,America,0,America,M
2022,SE,FT,DE,208775,America,100,America,M
2022,SE,FT,DE,147800,America,100,America,M
2022,SE,FT,DE,136994,America,100,America,M
2022,SE,FT,DE,101570,America,100,America,M
2022,SE,FT,DA,128875,America,100,America,M
2022,SE,FT,DA,93700,America,100,America,M
2022,EX,FT,DS,79039,Asia,50,Asia,L
2022,EN,FT,DS,37300,Europe,100,Europe,L
2022,SE,FT,DA,164000,America,0,America,M
2022,SE,FT,DE,155000,America,100,America,M
2022,MI,FT,DS,124333,Europe,0,Europe,M
2022,MI,FT,DS,98158,Europe,0,Europe,M
2022,MI,FT,DS,120000,America,0,America,M
2022,SE,FT,DA,145000,America,100,America,M
2022,SE,FT,DA,105400,America,100,America,M
2022,MI,FT,DS,87932,Europe,100,Europe,M
2022,MI,FT,DE,117789,Europe,0,Europe,M
2022,SE,FT,DS,215300,America,100,America,L
2022,SE,FT,DS,158200,America,100,America,L
2022,SE,FT,DE,209100,America,100,America,L
2022,SE,FT,DE,154600,America,100,America,L
2022,SE,FT,DA,115934,America,0,America,M
2022,SE,FT,DA,81666,America,0,America,M
2022,SE,FT,DE,175000,America,100,America,M
2022,MI,FT,DE,98158,Europe,0,Europe,M
2022,SE,FT,DE,183600,America,100,America,L
2022,MI,FT,DA,52351,Europe,100,Europe,M
2022,SE,FT,DS,180000,America,100,America,M
2022,MI,FT,DS,71982,Europe,0,Europe,M
2022,MI,FT,DS,45807,Europe,0,Europe,M
2022,MI,FT,DE,65949,Europe,100,Europe,M
2022,MI,FT,DE,49461,Europe,100,Europe,M
2022,MI,FT,DE,78526,Europe,100,Europe,M
2022,MI,FT,DE,58894,Europe,100,Europe,M
2022,SE,FT,DS,260000,America,100,America,M
2022,SE,FT,DS,60000,America,100,America,L
2022,MI,FT,DE,63900,America,0,America,M
2022,MI,FT,DS,160000,America,100,America,L
2022,MI,FT,DS,112300,America,100,America,L
2022,MI,FT,DS,241000,America,100,America,M
2022,MI,FT,DS,159000,America,100,America,M
2022,SE,FT,DS,180000,America,0,America,M
2022,SE,FT,DS,80000,America,0,America,M
2022,MI,FT,DE,82900,America,0,America,M
2022,SE,FT,DE,100800,America,100,America,L
2022,MI,FT,DE,49461,Europe,100,Europe,M
2022,SE,FT,DS,140400,America,0,America,L
2022,MI,FT,DA,39263,Europe,100,Europe,M
2022,MI,FT,DA,43966,Europe,100,Europe,M
2022,MI,FT,DA,32974,Europe,100,Europe,M
2022,MI,FT,DE,87932,Europe,100,Europe,M
2022,MI,FT,DE,76940,Europe,100,Europe,M
2022,MI,FT,DE,104702,Europe,100,Europe,M
2022,MI,FT,DE,91614,Europe,100,Europe,M
2022,MI,FT,DE,65949,Europe,100,Europe,M
2022,MI,FT,DE,87932,Europe,100,Europe,M
2022,MI,FT,DA,43966,Europe,100,Europe,M
2022,MI,FT,DA,32974,Europe,100,Europe,M
2022,MI,FT,DE,98158,Europe,100,Europe,M
2022,SE,FT,DS,215300,America,0,America,L
2022,MI,FT,DE,76940,Europe,100,Europe,M
2022,SE,FT,DE,180000,America,100,America,M
2022,EN,FT,DS,21983,Europe,100,Europe,L
2022,SE,FT,DE,80000,America,100,America,M
2022,MI,FT,DS,78791,America,100,America,M
2022,EX,FT,DS,196979,America,50,America,L
2022,MI,FT,DS,120000,America,100,America,S
2022,EN,FT,DS,125000,America,0,America,M
2022,MI,FT,DS,37236,America,50,America,L
2022,SE,FT,DE,105000,America,100,America,M
2022,SE,FT,DS,87932,Europe,0,Europe,M
2022,MI,FT,DA,18442,Asia,100,Asia,M
2022,MI,FT,DS,31615,Asia,100,Asia,L
2022,MI,FT,DS,58255,Europe,50,Europe,L
2022,EN,FT,DA,100000,America,50,America,L
2022,MI,PT,DE,54957,Europe,50,Europe,L
2022,EN,FT,DS,18442,Asia,100,Asia,M
2022,SE,FT,DS,162674,Europe,100,Europe,M
2022,EN,FT,DE,120000,America,100,America,M
2022,SE,FT,DS,144000,America,50,America,L
2022,SE,FT,DS,104890,America,100,America,M
2022,SE,FT,DE,100000,America,100,America,M
2022,SE,FT,DS,140000,America,100,America,M
2022,MI,FT,DA,135000,America,100,America,M
2022,MI,FT,DA,50000,America,100,America,M
2022,SE,FT,DS,220000,America,100,America,M
2022,MI,FT,DS,183228,Europe,0,Europe,M
2022,MI,FT,DS,91614,Europe,0,Europe,M
2022,SE,FT,DS,185100,America,100,America,M
2022,SE,FT,DS,220000,America,100,America,M
2022,MI,FT,DS,200000,America,100,America,M
2022,MI,FT,DS,120000,America,100,America,M
2022,SE,FT,DS,120000,Asia,100,Asia,S
2022,SE,FT,DS,65000,Asia,100,Asia,S
2022,EX,FT,DE,324000,America,100,America,M
2022,EX,FT,DE,216000,America,100,America,M
2022,SE,FT,DE,210000,America,100,America,M
2022,SE,FT,DS,120000,America,100,America,M
2022,SE,FT,DS,230000,America,100,America,M
2022,EN,PT,DS,100000,Africa,50,Africa,M
2022,MI,FL,DS,100000,America,100,America,M
2022,EN,CT,DS,31875,Africa,100,Europe,M
2022,SE,FT,DE,200000,Asia,100,America,M
2022,MI,FT,DA,75000,America,100,America,S
2022,MI,FT,DS,35590,Europe,100,Europe,L
2022,SE,FT,DS,78791,America,100,America,M
2022,SE,FT,DS,100000,America,100,America,M
2022,MI,FT,DS,153000,America,50,America,M
2022,EN,FT,DE,58035,Asia,100,Europe,M
2022,SE,FT,DS,165000,America,100,America,M
2022,SE,FT,DS,93427,Europe,50,Europe,L
2022,EN,FT,DS,52396,America,100,America,L
2022,SE,FT,DS,62651,Europe,100,Europe,L
2022,MI,FT,DE,32974,ex_USSR,100,ex_USSR,S
2022,EN,FT,DS,40000,Asia,100,Asia,L
2022,MI,FT,DS,87425,Oceania,100,Oceania,L
2022,SE,FT,DE,115000,America,100,America,M
2022,EN,FT,DS,86703,Oceania,50,Oceania,M
2022,MI,FT,DS,75000,America,100,America,L
2022,MI,FT,DS,64849,Europe,0,Europe,L
2022,EN,FT,DS,120000,America,100,America,L
2022,MI,FT,DS,157000,America,100,America,L
2022,EN,FT,DS,150000,Oceania,100,Oceania,S
2022,MI,FT,DA,70912,America,50,America,L
2022,EN,FT,DE,65000,America,100,America,S
2022,SE,FT,DS,71444,Europe,100,Europe,S
2022,EN,FT,DA,20000,Asia,0,Asia,M
2022,MI,FT,DS,48000,ex_USSR,100,America,S
2022,SE,FT,DS,152500,America,100,America,M
2022,MI,FT,DE,68147,Europe,100,Europe,M
2022,MI,FT,DS,122346,Europe,0,Europe,L
2022,SE,FT,DS,380000,America,100,America,L
2022,MI,FT,DS,69336,America,100,America,M
2022,EN,FT,DS,10000,Europe,100,Europe,M
2022,MI,FT,DA,20000,Europe,100,Europe,S
2022,SE,FT,DA,405000,America,100,America,L
2022,MI,FT,DS,135000,America,100,America,L
2022,SE,FT,DS,177000,America,100,America,L
2022,MI,FT,DS,78000,America,100,America,M
2022,SE,FT,DA,100000,America,100,America,M
2022,MI,FT,DA,85000,America,0,America,M
2022,MI,FT,DA,75000,America,0,America,M
2022,SE,FT,DS,214000,America,100,America,M
2022,SE,FT,DS,192600,America,100,America,M
2022,SE,FT,DE,266400,America,100,America,M
2022,SE,FT,DE,213120,America,100,America,M
2022,MI,FT,DS,141300,America,0,America,M
2022,MI,FT,DS,102100,America,0,America,M
2022,SE,FT,DA,115934,America,100,America,M
2022,SE,FT,DA,81666,America,100,America,M
2022,MI,FT,DE,206699,America,0,America,M
2022,MI,FT,DE,99100,America,0,America,M
2022,SE,FT,DE,130000,America,100,America,M
2022,SE,FT,DE,110500,America,100,America,M
2022,SE,FT,DA,99050,America,100,America,M
2022,SE,FT,DE,160000,America,100,America,M
2022,SE,FT,DS,205300,America,0,America,L
2022,SE,FT,DS,176000,America,100,America,M
2022,SE,FT,DS,144000,America,100,America,M
2022,SE,FT,DE,200100,America,100,America,M
2022,SE,FT,DE,145000,America,100,America,M
2022,SE,FT,DE,70500,America,0,America,M
2022,SE,FT,DS,205300,America,0,America,M
2022,SE,FT,DS,140400,America,0,America,M
2022,SE,FT,DA,205300,America,0,America,M
2022,SE,FT,DA,184700,America,0,America,M
2022,SE,FT,DE,175100,America,100,America,M
2022,SE,FT,DE,140250,America,100,America,M
2022,SE,FT,DA,116150,America,100,America,M
2022,SE,FT,DE,54000,America,0,America,M
2022,MI,FT,DA,65438,Europe,0,Europe,M
2022,SE,FT,DA,80000,America,100,America,M
2022,SE,FT,DS,210000,America,100,America,M
2022,SE,FT,DA,69000,America,100,America,M
2022,SE,FT,DA,150075,America,100,America,M
2022,SE,FT,DE,25000,America,100,America,M
2022,SE,FT,DA,126500,America,100,America,M
2022,SE,FT,DA,106260,America,100,America,M
2022,SE,FT,DE,220110,America,100,America,M
2022,SE,FT,DE,160080,America,100,America,M
2022,SE,FT,DA,105000,America,100,America,M
2022,SE,FT,DA,110925,America,100,America,M
2022,MI,FT,DA,45807,Europe,0,Europe,M
2022,SE,FT,DA,60000,America,100,America,M
2022,SE,FT,DE,192564,America,100,America,M
2022,SE,FT,DE,144854,America,100,America,M
2022,SE,FT,DS,150000,America,100,America,M
2022,SE,FT,DA,150260,America,100,America,M
2022,SE,FT,DA,109280,America,100,America,M
2022,MI,FT,DS,160000,America,100,America,M
2022,MI,FT,DS,130000,America,100,America,M
2022,EN,FT,DA,67000,America,0,America,M
2022,EN,FT,DA,52000,America,0,America,M
2022,SE,FT,DE,154000,America,100,America,M
2022,SE,FT,DE,126000,America,100,America,M
2022,SE,FT,DA,129000,America,0,America,M
2022,SE,FT,DA,150000,America,100,America,M
2022,MI,FT,DS,200000,Asia,100,America,L
